t_over_T,t,mx,norm
2.899999999999999911e+00,1.822123739082080007e+01,-9.536688923835754395e-01,1.000000000000000000e+00
2.908333333333333215e+00,1.827359726838063025e+01,-9.594808816909790039e-01,1.000000000000000000e+00
2.916666666666666963e+00,1.832595714594046044e+01,-9.647365808486938477e-01,1.000000000000000000e+00
2.925000000000000266e+00,1.837831702350029062e+01,-9.694275856018066406e-01,9.999999403953552246e-01
2.933333333333333126e+00,1.843067690106011725e+01,-9.735277295112609863e-01,9.999999403953552246e-01
2.941666666666666430e+00,1.848303677861994743e+01,-9.770084619522094727e-01,1.000000000000000000e+00
2.949999999999999734e+00,1.853539665617977761e+01,-9.798507094383239746e-01,1.000000000000000000e+00
2.958333333333333037e+00,1.858775653373960779e+01,-9.820536971092224121e-01,9.999999403953552246e-01
2.966666666666666341e+00,1.864011641129943797e+01,-9.836420416831970215e-01,9.999999403953552246e-01
2.974999999999999645e+00,1.869247628885926815e+01,-9.846710562705993652e-01,1.000000000000000000e+00
2.983333333333333393e+00,1.874483616641909833e+01,-9.852304458618164062e-01,1.000000119209289551e+00
2.991666666666666696e+00,1.879719604397892851e+01,-9.854463934898376465e-01,1.000000000000000000e+00
3.000000000000000000e+00,1.884955592153875870e+01,-9.854782223701477051e-01,1.000000000000000000e+00
3.008333333333333304e+00,1.890191579909858888e+01,-9.855108261108398438e-01,1.000000119209289551e+00
3.016666666666666607e+00,1.895427567665841906e+01,-9.857353568077087402e-01,1.000000000000000000e+00
3.025000000000000355e+00,1.900663555421824924e+01,-9.863126873970031738e-01,1.000000000000000000e+00
3.033333333333332771e+00,1.905899543177807587e+01,-9.873153567314147949e-01,1.000000000000000000e+00
3.041666666666666519e+00,1.911135530933790605e+01,-9.886390566825866699e-01,1.000000000000000000e+00
3.049999999999999822e+00,1.916371518689773623e+01,-9.898918271064758301e-01,1.000000000000000000e+00
3.058333333333333126e+00,1.921607506445756641e+01,-9.902707934379577637e-01,1.000000000000000000e+00
3.066666666666666430e+00,1.926843494201739659e+01,-9.884503483772277832e-01,1.000000000000000000e+00
3.074999999999999734e+00,1.932079481957722678e+01,-9.825010299682617188e-01,1.000000000000000000e+00
